dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt,year,month,day,day_of_year,season_name,weather_name,weekday_name,temp_hum_interaction,temp_windspeed_interaction,is_rush_hour,is_night,weather_comfort,season_hour
2011-01-01,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,16,2011,1,1,1,Spring,Clear,Saturday,0.19440000000000002,0.0,0,1,0.04559999999999999,0
2011-01-01,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,40,2011,1,1,1,Spring,Clear,Saturday,0.17600000000000002,0.0,0,1,0.04399999999999999,1
2011-01-01,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,32,2011,1,1,1,Spring,Clear,Saturday,0.17600000000000002,0.0,0,1,0.04399999999999999,2
2011-01-01,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,13,2011,1,1,1,Spring,Clear,Saturday,0.18,0.0,0,1,0.06,3
2011-01-01,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,1,2011,1,1,1,Spring,Clear,Saturday,0.18,0.0,0,1,0.06,4
2011-01-01,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,1,2011,1,1,1,Spring,Mist,Saturday,0.18,0.021504,0,1,0.054624,5
2011-01-01,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2,2011,1,1,1,Spring,Clear,Saturday,0.17600000000000002,0.0,0,0,0.04399999999999999,6
2011-01-01,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,3,2011,1,1,1,Spring,Clear,Saturday,0.17200000000000001,0.0,1,0,0.028000000000000004,7
2011-01-01,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,8,2011,1,1,1,Spring,Clear,Saturday,0.18,0.0,1,0,0.06,8
2011-01-01,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,14,2011,1,1,1,Spring,Clear,Saturday,0.2432,0.0,1,0,0.0768,9
2011-01-01,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,36,2011,1,1,1,Spring,Clear,Saturday,0.2888,0.09640599999999999,0,0,0.06806256,10
2011-01-01,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,56,2011,1,1,1,Spring,Clear,Saturday,0.2916,0.102096,0,0,0.04900175999999998,11
2011-01-01,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,84,2011,1,1,1,Spring,Clear,Saturday,0.3234,0.11911200000000001,0,0,0.06920423999999999,12
2011-01-01,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,94,2011,1,1,1,Spring,Mist,Saturday,0.3312,0.13731,0,0,0.09035320000000002,13
2011-01-01,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,106,2011,1,1,1,Spring,Mist,Saturday,0.3312,0.13045600000000002,0,0,0.09227232,14
2011-01-01,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,110,2011,1,1,1,Spring,Mist,Saturday,0.3388,0.13133999999999998,0,0,0.0709918,15
2011-01-01,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,93,2011,1,1,1,Spring,Mist,Saturday,0.3444,0.12536999999999998,0,0,0.05303340000000001,16
2011-01-01,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,67,2011,1,1,1,Spring,Mist,Saturday,0.36079999999999995,0.124784,1,0,0.056738880000000005,17
